VCD info: dumpfile out.vcd opened for output.
                   0<<starting>>
                   0clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                   1clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                   2clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                   3clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                   4clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                   5clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                   6clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                   7clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                   8clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                   9clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  10clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  11clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  12clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  13clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  14clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  15clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  16clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  17clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  18clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  19clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
